Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-128-2	58	44.374635	N	63	32.821834	N	67	53.003562	N	43	43.095975	N	113	32.590566	N	87	71.037225	N
hsa-mir-1280	1	0.76508	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1281	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1282	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1283-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1283-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1284	1	0.76508	N	0	0	N	0	0	N	1	1.002232	N	0	0	N	1	0.81652	N
hsa-mir-1285-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1285-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1286	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1287	19	14.536518	N	69	35.947723	N	43	34.017211	N	17	17.037944	N	74	21.342495	N	55	44.908591	N
hsa-mir-1288	1	0.76508	N	2	1.041963	N	0	0	N	0	0	N	4	1.153648	N	1	0.81652	N
hsa-mir-1289-1	0	0	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1289-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-129-1	0	0	N	3	1.562944	N	1	0.791098	N	1	1.002232	N	2	0.576824	N	0	0	N
hsa-mir-129-2	0	0	N	3	1.562944	N	3	2.373294	N	0	0	N	2	0.576824	N	1	0.81652	N
hsa-mir-1290	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1291	0	0	N	5	2.604907	N	5	3.95549	N	0	0	N	1	0.288412	N	3	2.449559	N
hsa-mir-1292	1	0.76508	N	1	0.520981	N	0	0	N	0	0	N	3	0.865236	N	1	0.81652	N
hsa-mir-1293	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1294	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1295	0	0	N	1	0.520981	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1296	21	16.066678	N	12	6.251778	N	6	4.746588	N	2	2.004464	N	7	2.018885	N	13	10.614758	N
hsa-mir-1297	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1298	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1299	0	0	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1300	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1301	6	4.590479	N	10	5.209815	N	9	7.119881	N	4	4.008928	N	10	2.884121	N	9	7.348678	N
hsa-mir-1302-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-3	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-4	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-5	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-6	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-7	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1302-8	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1303	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1304	0	0	N	0	0	N	0	0	N	0	0	N	2	0.576824	N	0	0	N
hsa-mir-1305	0	0	N	0	0	N	0	0	N	1	1.002232	N	1	0.288412	N	0	0	N
hsa-mir-1306	18	13.771438	N	13	6.772759	N	10	7.910979	N	9	9.020088	N	25	7.210302	N	11	8.981718	N
hsa-mir-1307	1701	1301.400938	N	2608	1358.719719	N	3859	3052.846924	N	1564	1567.490802	N	3024	872.158167	N	4451	3634.32976	N
hsa-mir-1308	2	1.53016	N	0	0	N	6	4.746588	N	4	4.008928	N	1	0.288412	N	1	0.81652	N
hsa-mir-130a	58	44.374635	N	85	44.283426	N	100	79.109793	N	81	81.18079	N	185	53.356237	N	42	34.293833	N
hsa-mir-130b	107	81.863551	N	85	44.283426	N	60	47.465876	N	49	49.109367	N	169	48.741644	N	90	73.486785	N
hsa-mir-132	47	35.958756	N	108	56.266001	N	132	104.424927	N	130	130.290156	N	282	81.33221	N	37	30.211234	N
hsa-mir-1321	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1322	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-1323	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1324	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-133a-1	29	22.187318	Y	62	32.300852	Y	26	20.568546	Y	4	4.008928	Y	117	33.744215	Y	32	26.128635	Y
hsa-mir-133a-2	6	4.590479	Y	11	5.730796	Y	1	0.791098	Y	0	0	N	8	2.307297	Y	5	4.082599	Y
hsa-mir-133b	18	13.771438	Y	42	21.881222	Y	12	9.493175	Y	3	3.006696	Y	46	13.266956	Y	24	19.596476	Y
hsa-mir-134	877	670.975087	N	784	408.449486	N	1152	911.344819	N	1552	1555.464018	N	2502	721.607055	N	331	270.268063	N
hsa-mir-135a-1	1	0.76508	N	1	0.520981	N	1	0.791098	N	0	0	N	1	0.288412	N	1	0.81652	N
hsa-mir-135a-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-135b	145	110.936588	N	91	47.409315	N	276	218.34303	N	26	26.058031	N	364	104.982002	N	186	151.872688	N
hsa-mir-136	99	75.742912	N	105	54.703056	N	124	98.096144	N	134	134.299084	N	297	85.658391	N	42	34.293833	N
hsa-mir-137	0	0	N	0	0	N	0	0	N	3	3.006696	N	2	0.576824	N	0	0	N
hsa-mir-138-1	3	2.29524	N	0	0	N	0	0	N	0	0	N	2	0.576824	N	0	0	N
